"Beacon Hill Enterprise Academy for Gifted Youngsters","TooKawaii","Walking Dead (TV),The Wolf Among Us,Merlin (TV),Teen Wolf (TV),Doctor Who,Pocket Monsters | Pokemon - All Media Types,Homestuck,Supernatural,Criminal Minds,Harry Potter - J. K. Rowling,Adventure Time,Naruto,Game of Thrones (TV),Digimon - All Media Types,The Bible,CSI: Crime Scene Investigation,Nicholas Cage - Fandom,Psych,DC Comics,Thor - All Media Types,Marvel Comics - Fandom,Warriors - Erin Hunter,Guardians of Ga'hoole - Kathryn Lasky,Winnie The Pooh,Dragon Tales,Sesame Street (TV),Arthur (TV),Kim Possible (Cartoon),Xiaolin Showdown (Cartoon),NCIS,slenderman - Fandom,Rooster Teeth/Achievement Hunter RPF,Hunger Games Series - All Media Types,Sherlock (TV),Sherlock Holmes (Downey films),The Great Mouse Detective (1986),Elementary (TV),Star Trek,Avatar: The Last Airbender,Avatar: Legend of Korra,Star Wars - All Media Types,TMNT (2007),Scooby Doo - All Media Types,Young Justice (Cartoon),Teen Titans (Animated Series),Assassin's Creed,Emergency!,Archer (Cartoon),Bones (TV),Transformers - All Media Types,Friends,Ice Age (Movies),Sabrina the Teenage Witch (TV),Scrubs,House M.D.,Sailor Moon - All Media Types,Fullmetal Alchemist,Shingeki no Kyojin | Attack on Titan,Boy Meets World,Drake & Josh,Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica,Free!,Heavy Rain",English,4301,2/?,0,47,37,12,3036,Mature,21 May 2014,"Carl Grimes,Merlin (Merlin),Arthur Pendragon (Merlin),Gwen (Merlin),Stiles Stilinski,Scott McCall,Allison Argent,Lydia Martin,Derek Hale,Bigby Wolf (Fables - Willingham),The Doctor (Doctor Who),Hitokage | Charmander,Fushigidane | Bulbasaur,Zenigame | Squirtle,Dean Winchester,Sam Winchester,Castiel,Draco Malfoy,Harry Potter,Ron Weasley,Princess Bubblegum,Marceline (Adventure Time),Joffrey Baratheon,Jesus Christ,Shawn Spencer,Burton 'Gus' Guster,Carlton Lassiter,Juliet O'Hara,Ziva David,Anthony DiNozzo,Timothy McGee,Jethro Gibbs,Abby Sciuto,Nick Cage - Character,Mel Gibson,Thor,Loki (Marvel),Tony Stark,Steve Rogers,Fallen Leaves (Warriors),Jayfeather (Warriors),Tigerstar (Warriors),Emmy (Dragon Tales),Max (Dragon Tales),Ord (Dragon Tales),Cassie (Dragon Tales),Zak (Dragon Tales),Wheezie (Dragon Tales),Slenderman,Reader,Ron Stoppable,Kim Possible,Oscar the Grouch,Big Bird,Buster Baxter,Francine Frensky,Arthur Timothy Read,Nick Stokes,Warrick Brown,Gil Grissom,Greg Sanders,Sherlock Holmes,Basil of Baker Street,Joan Watson,John Watson,Dr David Q. Dawson,James T. Kirk,Spock,Enterprise - Character,Aang,Katara,Korra,Chewbacca,R2D2,C3PO,Leonardo (TMNT),Michelangelo (TMNT),Raphael (TMNT),Donatello (TMNT),Katniss Everdeen,Finnick Odair,Peeta Mellark,Dick Grayson,Wally West,Rachael Roth,Kori'ander,Artemis Crock,Bruce Wayne,Garfield Logan,Victor Stone,Kaldur'ahm,Lex Luthor,Clark Kent,Connor Kent,Tim Drake,Edward Elric,Roy Mustang,John "JD" Dorian,Christopher Turk,Sid (Ice Age),Diego (Ice Age),Manny (Ice Age),Tsukino Usagi | Sailor Moon,Chiba Mamoru | Tuxedo Kamen,Drake Parker (Drake & Josh),Josh Nichols,Gavin Free,Michael Jones,Ray Narvaez Jr,Optimus Prime,Megatron (Transformers),Starscream (Transformers),Sterling Archer,Lana Kane,Cyril Figgis,Nanase Haruka,Tachibana Makoto,Hazuki Nagisa,Ryuugazaki Rei,Matsuoka Rin,Rin (InuYasha),Rose Lalonde,Kanaya Maryam,Spencer Reid,Derek Morgan,Aaron Hotchner,Ethan Mars,Moses,Noah,Akemi Homura,Roy DeSoto","Carl Grimes/Original Male Character(s),Merlin/Arthur Pendragon (Merlin),Gwen/Arthur Pendragon (Merlin),Scott McCall/Stiles Stilinski,Derek Hale/Stiles Stilinski,Lydia Martin/Stiles Stilinski,Allison Argent/Scott McCall,Jesus Christ/Derek Hale,Derek Hale/his camero,Derek Hale/his house,Charmander/Bulbasaur,Castiel/Dean Winchester,Loki/Thor,Princess Bubblegum/Marceline,Rose Lalonde/Kanaya Maryam,Burton Guster/Shawn Spencer,Timothy McGee/Abby Sciuto,Mel Gibson/ Cassie (Dragon Tales),Slenderman/Reader,Tigerstar/Jayfeather,Warrick Brown/Nick Stokes,Arthur Timothy Read/Buster Baxter,James T. Kirk/USS Enterprise,Sherlock Holmes/John Watson,Sherlock Holmes/Joan Watson,Clark Kent/Lex Luthor,Conner Kent/Tim Drake,Sid/Diego,Drake/Josh,Aaron Hotchner/Spencer Reid,Derek Morgan/Spencer Reid,Optimus Prime/Megatron,Optimus Prime/Starscream,Finnick Odair/water,Nanase Haruka/Finnick Odair/Water","Creator Chose Not To Use Archive Warnings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bet your bottom we at hogwarts","PondRam","Homestuck,Harry Potter - J. K. Rowling",English,624,1/?,0,1,10,0,100,Not Rated, 5 Jul 2014,"John Egbert,Dave Strider,Rose Lalonde,Jade Harley,will add more characters as story progresses","John Egbert/Dave Strider,Terezi Pyrope/Karkat Vantas,John Egbert ♦ Rose Lalonde,Dave Strider ♦ Jade Harley","Creator Chose Not To Use Archive Warnings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drunk Dialed","gooberAscendant","Homestuck,Harry Potter - J. K. Rowling",English,443,1/1,0,0,6,0,73,Teen And Up Audiences,13 Aug 2014,"Roxy Lalonde,Jade Harley","Jade Harley/Roxy Lalonde","No Archive Warnings Apply",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castlestuck","MKwitch","Harry Potter - J. K. Rowling,Homestuck",English,1538,4/?,0,3,8,0,562,General Audiences,18 Jan 2013,"Harry Potter,Lily Evans,James Potter,Jack Noir","","Creator Chose Not To Use Archive Warnings,No Archive Warnings Apply",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potterstuck [Where A Crossover Becomes Homestuck] {Logs}","TwinKats","Harry Potter - Fandom,Homestuck",English,1266,4/?,0,0,0,0,299,Not Rated, 2 Dec 2013,"Frank Longbottom,Lucius Malfoy,Lucius Liddel,Selene Lovegood,Selene Malfoy,James Potter,James Granger,lily evens,Lily Prewett,Fabian Prewett,Gideon Prewett,Arianna Dumbledore","","Creator Chose Not To Use Archive Warnings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dave Strider and the Stiller Shades","","Homestuck,Harry Potter - Fandom",English,1262,1/2,1,3,20,1,529,Teen And Up Audiences,19 Mar 2014,"Dave Strider,Jade Harley,Rose Lalonde,John Egbert,Karkat Vantas,Dirk Strider,Bro (Homestuck),Ms. Paint,Peregrine Mendicant,Jack Noir,Mom (Homestuck),Mom | Roxy Lalonde","","No Archive Warnings Apply",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Mustache?!","WitchTiara","Homestuck,Harry Potter - J. K. Rowling",English,1387,1/1,0,0,3,0,154,General Audiences,16 Oct 2014,"Nepeta Leijon,Rose Lalonde,Vriska Serket,Equius Zahhak","Rose Lalonde/Vriska Serket,Rose Lalonde/Nepeta Leijon,Nepeta Leijon/Vriska Serket,Rose Lalonde/Nepeta Leijon/Vriska Serket,Nepeta Leijon/Equius Zahhak","No Archive Warnings Apply",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Safe in the Dark","Penkindisbestspecibus","Homestuck,Harry Potter - J. K. Rowling",English,6775,4/?,0,55,165,33,3709,Mature,26 Oct 2014,"John Egbert,Dave Strider,Jade Harley,Karkat Vantas,Gamzee Makara,Rose Lalonde,Eridan Ampora,Feferi Peixes,Sollux Captor,Aradia Megido,Tavros Nitram,Equius Zahhak,Nepeta Leijon,Kanaya Maryam,Vriska Serket,Terezi Pyrope,Dirk Strider,Jane Crocker,Jake English,Roxy Lalonde,Auto-Responder | Lil Hal","Gamzee Makara & Karkat Vantas","Graphic Depictions Of Violence,Major Character Death",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beacon Hill Enterprise Academy for Gifted Youngsters","TooKawaii","Walking Dead (TV),The Wolf Among Us,Merlin (TV),Teen Wolf (TV),Doctor Who,Pocket Monsters | Pokemon - All Media Types,Homestuck,Supernatural,Criminal Minds,Harry Potter - J. K. Rowling,Adventure Time,Naruto,Game of Thrones (TV),Digimon - All Media Types,The Bible,CSI: Crime Scene Investigation,Nicholas Cage - Fandom,Psych,DC Comics,Thor - All Media Types,Marvel Comics - Fandom,Warriors - Erin Hunter,Guardians of Ga'hoole - Kathryn Lasky,Winnie The Pooh,Dragon Tales,Sesame Street (TV),Arthur (TV),Kim Possible (Cartoon),Xiaolin Showdown (Cartoon),NCIS,slenderman - Fandom,Rooster Teeth/Achievement Hunter RPF,Hunger Games Series - All Media Types,Sherlock (TV),Sherlock Holmes (Downey films),The Great Mouse Detective (1986),Elementary (TV),Star Trek,Avatar: The Last Airbender,Avatar: Legend of Korra,Star Wars - All Media Types,TMNT (2007),Scooby Doo - All Media Types,Young Justice (Cartoon),Teen Titans (Animated Series),Assassin's Creed,Emergency!,Archer (Cartoon),Bones (TV),Transformers - All Media Types,Friends,Ice Age (Movies),Sabrina the Teenage Witch (TV),Scrubs,House M.D.,Sailor Moon - All Media Types,Fullmetal Alchemist,Shingeki no Kyojin | Attack on Titan,Boy Meets World,Drake & Josh,Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica,Free!,Heavy Rain",English,4301,2/?,0,47,37,12,3036,Mature,21 May 2014,"Carl Grimes,Merlin (Merlin),Arthur Pendragon (Merlin),Gwen (Merlin),Stiles Stilinski,Scott McCall,Allison Argent,Lydia Martin,Derek Hale,Bigby Wolf (Fables - Willingham),The Doctor (Doctor Who),Hitokage | Charmander,Fushigidane | Bulbasaur,Zenigame | Squirtle,Dean Winchester,Sam Winchester,Castiel,Draco Malfoy,Harry Potter,Ron Weasley,Princess Bubblegum,Marceline (Adventure Time),Joffrey Baratheon,Jesus Christ,Shawn Spencer,Burton 'Gus' Guster,Carlton Lassiter,Juliet O'Hara,Ziva David,Anthony DiNozzo,Timothy McGee,Jethro Gibbs,Abby Sciuto,Nick Cage - Character,Mel Gibson,Thor,Loki (Marvel),Tony Stark,Steve Rogers,Fallen Leaves (Warriors),Jayfeather (Warriors),Tigerstar (Warriors),Emmy (Dragon Tales),Max (Dragon Tales),Ord (Dragon Tales),Cassie (Dragon Tales),Zak (Dragon Tales),Wheezie (Dragon Tales),Slenderman,Reader,Ron Stoppable,Kim Possible,Oscar the Grouch,Big Bird,Buster Baxter,Francine Frensky,Arthur Timothy Read,Nick Stokes,Warrick Brown,Gil Grissom,Greg Sanders,Sherlock Holmes,Basil of Baker Street,Joan Watson,John Watson,Dr David Q. Dawson,James T. Kirk,Spock,Enterprise - Character,Aang,Katara,Korra,Chewbacca,R2D2,C3PO,Leonardo (TMNT),Michelangelo (TMNT),Raphael (TMNT),Donatello (TMNT),Katniss Everdeen,Finnick Odair,Peeta Mellark,Dick Grayson,Wally West,Rachael Roth,Kori'ander,Artemis Crock,Bruce Wayne,Garfield Logan,Victor Stone,Kaldur'ahm,Lex Luthor,Clark Kent,Connor Kent,Tim Drake,Edward Elric,Roy Mustang,John "JD" Dorian,Christopher Turk,Sid (Ice Age),Diego (Ice Age),Manny (Ice Age),Tsukino Usagi | Sailor Moon,Chiba Mamoru | Tuxedo Kamen,Drake Parker (Drake & Josh),Josh Nichols,Gavin Free,Michael Jones,Ray Narvaez Jr,Optimus Prime,Megatron (Transformers),Starscream (Transformers),Sterling Archer,Lana Kane,Cyril Figgis,Nanase Haruka,Tachibana Makoto,Hazuki Nagisa,Ryuugazaki Rei,Matsuoka Rin,Rin (InuYasha),Rose Lalonde,Kanaya Maryam,Spencer Reid,Derek Morgan,Aaron Hotchner,Ethan Mars,Moses,Noah,Akemi Homura,Roy DeSoto","Carl Grimes/Original Male Character(s),Merlin/Arthur Pendragon (Merlin),Gwen/Arthur Pendragon (Merlin),Scott McCall/Stiles Stilinski,Derek Hale/Stiles Stilinski,Lydia Martin/Stiles Stilinski,Allison Argent/Scott McCall,Jesus Christ/Derek Hale,Derek Hale/his camero,Derek Hale/his house,Charmander/Bulbasaur,Castiel/Dean Winchester,Loki/Thor,Princess Bubblegum/Marceline,Rose Lalonde/Kanaya Maryam,Burton Guster/Shawn Spencer,Timothy McGee/Abby Sciuto,Mel Gibson/ Cassie (Dragon Tales),Slenderman/Reader,Tigerstar/Jayfeather,Warrick Brown/Nick Stokes,Arthur Timothy Read/Buster Baxter,James T. Kirk/USS Enterprise,Sherlock Holmes/John Watson,Sherlock Holmes/Joan Watson,Clark Kent/Lex Luthor,Conner Kent/Tim Drake,Sid/Diego,Drake/Josh,Aaron Hotchner/Spencer Reid,Derek Morgan/Spencer Reid,Optimus Prime/Megatron,Optimus Prime/Starscream,Finnick Odair/water,Nanase Haruka/Finnick Odair/Water","Creator Chose Not To Use Archive Warnings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good Luck","whenyouheldtheknife","Homestuck,Harry Potter - J. K. Rowling",English,2093,1/1,0,1,23,1,506,Teen And Up Audiences,21 Feb 2013,"John Egbert,Dave Strider,Rose Lalonde","John Egbert/Dave Strider","No Archive Warnings Apply",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castle Bound","Mogseltof","Homestuck,Harry Potter - J. K. Rowling",English,6098,2/?,0,3,22,4,388,Teen And Up Audiences,17 Dec 2014,"John Egbert,Dave Strider,Rose Lalonde,Jade Harley,Vriska Serket,Ensemble,Jane Crocker,Jake English,Roxy Lalonde,Dirk Strider,Meulin Leijon,Feferi Peixes,Severus Snape,Minerva McGonagall,Latula Pyrope,Karkat Vantas,Gamzee Makara,Kanaya Maryam,Terezi Pyrope,Sybil Trelawney","","No Archive Warnings Apply",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marauders' Trail","draconicAlgorithm (PhantomSunsSong)","Homestuck,Harry Potter - J. K. Rowling",English,7209,3/?,0,0,30,5,1107,Teen And Up Audiences, 1 Mar 2012,"Nepeta Leijon,Rose Lalonde,Jade Harley,Terezi Pyrope","","No Archive Warnings Apply",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
